"Story","Title","Result","Date","Stability","Duration (s)"
"Crud test","Testfakegetcatigorieslist","FAILURE","2021-05-12T20:02:14.8756205+03:00[Europe/Kiev]","0.0","2.74"
"Crud test","Testketegorieslistbuid","SUCCESS","2021-05-12T20:02:17.6442796+03:00[Europe/Kiev]","0.0","1.19"
"Crud test","Verification of delete request","SUCCESS","2021-05-12T20:02:18.8386751+03:00[Europe/Kiev]","0.0","1.14"
"Crud test","Test get user","SUCCESS","2021-05-12T20:02:19.9810563+03:00[Europe/Kiev]","0.0","1.12"
